original_text,translated_text
abandon,"оставить, забросить"
abate,"уменьшаться, ослабевать"
abduct,похищать
abide,"смириться, выносить"
able,"способный, могущий"
abnormal,"ненормальный, аномальный"
aboard,на борту
abolish,упразднять
abort,прерывать
abound,изобиловать
about,примерно
abroad,за границу
abrupt,"крутой, резкий"
absent,отсутствующий
absorb,"впитывать, поглощать"
abundant,обильный
abuse,"оскорблять, бранить, брань"
abuse,злоупотреблять
abuse,"насилие, домогательство"
accelerate,ускорять
accept,принять
access,доступ
accessory,"принадлежность, аксессуар"
accident,случайность
accident,"происшествие, напр.  ДТП"
acclaim,"приветствовать, аплодировать"
accommodate,"размещать, вмещать"
accompany,сопровождать
accomplish,"выполнить, завершить"
accord,согласие
according to,в соответствии
account,счёт (в банке)
account,отчёт
account for,объяснить (произошедшее)
accurate,точный
accuse,обвинять
accustom,приучить
ache,"боль, болеть"
achieve,достигать
acid,кислота
acknowledge,"признавать, подтверждать"
acquaint,знакомить
acquire,обретать
acquit,оправдать (в суде)
across,"за, через"
act,действовать
act on,действовать в соответствии
acute,острый
adamant,непреклонный
add to,увеличивать
add up,сходиться (об информации)
addict,"наркоман, привыкать"
addition,"добавление, сложение"
adhere,придерживаться
adjacent,"смежный, прилегающий"
adjective,прилагательное
adjust,"настраивать, поправлять и т.д."
admire,восхищаться
admit,"признавать, допускать"
adolescent,"подросток, подростковый"
adopt,"принимать, перенимать"
adopt,усыновить или взять (животное)
adore,обожать
adorn,украшать
adult,взрослый
adultery,"прелюбодеяние, неверность"
advance,"продвигаться, продвижение"
advantage,преимущество
adventure,приключение
adverb,наречие
adversary,"противник, соперник"
adverse,неблагоприятный
advertise,рекламировать
advice,совет (неисчисл!)
advise,советовать
advocate,"защищать, отстаивать"
aerial,воздушный
aerial,антенна
affair,"дело, занятие"
affair,"роман, любовная история"
affect,воздействовать
affection,"привязанность, влечение"
affiliate,"филиал, отделение, мл. партнёр"
affirm,"утверждать, подтверждать"
afflict,"поражать, вредить"
affluent,"обеспеченный, состоятельный"
afford,позволить себе
afraid,напуганный
after all,"всё-таки, в конце концов"
aftermath,"последствие, результат"
age,"век, эпоха"
age,возраст
agenda,повестка дня
aggravate,обострять
aggregate,совокупный
agile,"проворный, гибкий"
agitate,волновать
agree,соглашаться
agreement,"соглашение, договор"
agriculture,сельское хозяйство
ahead,"вперёд, впереди"
aid,"помощь, помогать"
ailment,"недомогание, болезнь"
aim,цель
air,"вид, впечатление"
airborne,находящийся в воздухе
aircraft,"самолёт, авиация"
airline,авиалиния
aisle,проход
akin,похожий
alarm,"тревога, сигнализация"
alas,увы
albeit,хотя
alert,"тревога, бдительный"
alien,"чужак, пришелец, иммигрант"
alienate,"отчуждать, отдалять, отвергать"
align,"выравнивать, выстраивать"
alike,подобно
alive,живой
all along,всё время
allege,"утверждать, приписывать"
allegiance,верность
allocate,распределять (ресурсы)
allot,"выделять, отводить"
allow,разрешать
allow for,"выделять, рассчитывать"
allowance,"выплата, пособие"
allude,"намекать, указывать"
allure,"очарование, очаровывать"
ally,союзник
almost,почти
alone,в одиночестве
alongside,рядом
aloud,вслух
alter,изменять
alternate,"чередовать, чередующийся"
although,хотя и
altitude,высота
altogether,в целом
amateur,"любитель, любительский"
amaze,"поражать, изумлять"
ambassador,посол
amber,янтарь
ambiguous,"двусмысленный, неоднозначный"
ambulance,скорая помощь
ambush,засада
amend,"исправить, улучшить"
amenity,"удобство, обустройство"
amid (amidst),среди
ammunition,боеприпасы
amount,количество (неисчисл.)
ample,"обильный, широкий"
amplify,усиливать
amuse,"развлечь, порадовать"
ancestor,предок
anchor,"якорь, закреплять"
ancient,древний
anew,заново
anger,гнев
angle,"угол, угловой"
angry,злой
anguish,"мука, страдание"
animate,"живой, одушевлённый, оживлять"
ankle,"лодыжка, щиколотка"
anniversary,годовщина
announce,объявлять
annoy,"раздражать, надоедать"
annual,ежегодный
ant,муравей
anthem,гимн
anticipate,ожидать
antique,старинный
anxiety,"беспокойство, тревога"
anxious,"озабоченный, встревоженный"
anymore,больше не
anytime,в любой момент
anyway,в любом случае
anywhere,"где угодно, куда угодно"
apart,"отдельно, врозь"
apart from,помимо
apartment,квартира
ape,обезьяна (крупная)
apiece,"каждый, за штуку"
apology,извинение(я)
appal,"потрясать, ужасать"
apparent,"явный, видимый"
appeal,"обращаться, взывать"
appear,появиться
appear,казаться
applause,аплодисменты
appliance,"прибор, приспособление"
apply,"применять, применяться"
apply,обращаться (с заявлением)
appoint,"назначать, утверждать"
appraise,оценивать
appreciate,ценить
apprentice,"ученик, стажёр"
approach,"приближаться, подходить"
appropriate,присвоить
appropriate,"подходящий, присущий"
approve,"утвердить, одобрить (офиц.)"
approve of,одобрять (субъективно)
approximate,приблизительный
apron,"фартук, передник"
apt,"склонный, способный"
aquatic,водный
arbitrary,произвольный
arc,дуга
arch,"арка, изгибать"
archive,архив
area,"область, участок"
argue,"спорить, доказывать"
"arise (arose, arisen)","возникать, происходить"
arm,рука
armor (armour),"броня, доспехи"
arms,оружие
arouse,"вызывать, пробуждать"
arrange,"организовать, уладить и т.д."
array,"ряд, порядок, строй"
arrest,"задерживать, тормозить"
arrive,прибывать
arrogant,высокомерный
arrow,"стрела, стрелка"
arson,поджог
article,статья
article,"вещь, изделие"
artificial,искусственный
as though,как будто
as well,также
as well as,так же как и
ascend,восходить
ascertain,"выяснить, установить"
ash,"пепел, зола"
ashamed,пристыженный
ashtray,пепельница
aside,"в стороне, в сторону"
aside from,кроме
ask around,поспрашивать
ask out,пригласить сходить
asleep,спящий
aspire,стремиться
ass,жопа
assassin,убийца
assault,"нападение, нападать"
assemble,собирать
assert,"утверждать, отстаивать"
assess,оценить
asset,"актив, имущество"
assign,"назначать, присваивать"
assimilate,усваивать
assist,помогать
associate,"общаться, связываться"
assume,принимать на себя
assume,предпогалать
assure,уверять
astonish,изумлять
astound,изумлять
asylum,убежище
at all,совсем
at first,сначала
at last,наконец
at least,по крайней мере
at odds with,"в противоречии, в конфликте"
at once,сразу
at the moment,сейчас
atop,наверху
atrocity,"зверство, злодеяние"
attach,"прикрепить, привязать"
attack,"нападать, нападение"
attain,достигать
attempt,"попытка, пытаться"
attend,"уделить внимание, посетить"
attic,чердак
attitude,отношение
attorney,"адвокат, прокурор, поверенный"
attract,"привлекать, притягивать"
attribute,"приписывать, относить"
audible,слышимый
audience,аудитория (люди)
augment,"увеличить, нарастить"
aunt,тётя
authorities,органы власти
authority,власть
authorize,"дать полномочия, поручение"
available,"доступный, в наличии"
avalanche,лавина
average,средний
avert,"предотвращать, отводить"
avid,"заядлый, рьяный, алчный"
avoid,избегать
await,ожидать
awake,"проснуться, бодрствующий"
award,"награда, премия, присуждать"
aware,осведомлённый
awe,"трепет, благоговение"
awesome,"здорово, классно"
awful,ужасный
awhile,какое-то время
awkward,неуклюжий
axe (ax),топор
axis,ось
bachelor,бакалавр
bachelor,холостяк
back down,"отступить, отказаться"
back then,тогда
back up,"поддержать, прикрыть"
backbone,хребет
backdrop,фон
background,"происхождение, предыстория и т.д."
background,фон
backpack,рюкзак
badge,значок
baffled,"в неодумении, в тупике"
bag,"сумка, мешок"
bail,залог
bait,приманка
bake,печь (выпекать)
bald,"лысый, плешивый"
bale,тюк
balloon,воздушный шар
ballot,"госолование, бюллетень"
ban,запрещать
band,ансамбль
bandage,повязка
bang,"удар, взрыв"
banish,отгонять
bank,"берег (реки, озера)"
bank on,"надеяться, полагаться"
bankrupt,"банкрот, неплатежеспособный"
banner,"знамя, транспарант"
baptize,крестить
bar,"пластина, брусок, прут и т. д."
bar,загораживать
barb,"шип, зазубрина"
barber,парикмахер
bare,голый
barefoot,босиком
barely,"едва, лишь только"
bargain,"сделка, торговаться"
bark,кора
bark,лаять
barn,сарай
barrel,бочка
barren,бесплодный
bartender,бармен
base,"основа, основывать"
basement,подвал
bash,колотить
basket,корзина
bastard,ублюдок
bat,бита
bat,летучая мышь
batch,"партия, серия, группа"
bath,ванна
bathe,"купаться, купать"
batter,"паста, тесто, взбивать"
battle,битва
bay,залив
be after,иметь целью
be back,возвращаться
be in,участвовать
be into,"любить, увлекаться"
be keen to,"желать, стремиться"
be late,опоздать
be off,отсутствовать
be on fire,гореть
be over,закончиться
be up to,замышлять что-то
bead,"шарик, бусинка"
beak,клюв
beam,"балка, перекладина"
beam,луч
bean,боб
"bear (bore, born)",рожать
"bear (bore, born)","нести, втч перен."
beard,борода
beast,"зверь, животное, скот"
"beat (beat, beaten)",победить
"beat (beat, beaten)",бить
beat up,побить
beauty,красота или красавица
beaver,бобр
beckon,манить
become of,случиться с к-л впоследствии
beef,говядина
beep,"гудок, гудеть, пищать"
beetle,жук
beforehand,заранее
beg,просить
behave,вести себя
behavior,поведение
behold,"созерцать, видеть"
beige,бежевый
belief,"убеждение, вера"
bell,"колокол, колокольчик"
bellow,"реветь, рёв"
belly,живот
belong to,принадлежать
beloved,любимый
below,"ниже, под"
belt,пояс
bench,скамейка
"bend (bent, bent)","изгибать, изгиб"
bend down,наклониться
beneath,"ниже, под"
benefit,"польза, создавать пользу"
benevolent,благожелательный
berry,ягода
berth,"койка, место, полка в поезде"
beside,рядом
besides,кроме
bestow,даровать
bet,"ставка, пари, держать пари"
betray,предавать
beverage,напиток
beware,остерегаться
bewilder,"смущать, сбивать с толку"
beyond,"вне, свыше"
bias,"склонность, предвзятость"
bicycle,велосипед
bid,"заявка, предложение цены"
bigot,фанатик
bill,счёт (к оплате)
bill,банкнота
billboard,рекламный щит
billion,миллиард
bin,"ящик, ведро, ларь"
"bind (bound, bound)",связывать
binge,"кутёж, загул, пьянка"
birth,рождение
bishop,епископ
bitch,сука
"bite (bit, bitten)","кусать, укус"
bitter,горький
bizarre,"странный, причудливый"
black out,обесточить
blackmail,шантажировать
blade,лезвие
blame,винить
bland,"пресный, мягкий"
blank,"пустой, чистый"
blanket,"одеяло, покрывало"
blast,"дуновение, порыв"
blast,"взрыв, взрывать"
blatant,"явный, вопиющий"
blaze,"полыхать, пламя"
bleach,"отбелить, обесцветить"
bleak,мрачный
"bleed (bled, bled)",кровоточить
blend,смешивать
bless,благословлять
blind,слепой
blink,"мерцать, мигать"
bliss,блаженство
blizzard,"метель, буран"
bloat,раздуваться
block,"кусок, глыба и т. д."
block,квартал
block out,"блокировать, не пускать"
block up,забиться (о канале)
blonde,блондинка
bloom,"расцвет, расцветать"
blossom,"цвести, цвет"
blouse,блузка
blow (blew blown),дуть
blow (blew blown),удар
blow out,задуть (свечу)
blow over,"пройти, утихнуть"
blow up,взорвать
blow up,"накачивать, надувать"
bluff,блеф
blunt,"тупой, притуплять"
blur,"размывать, смазывать"
blush,"румянец, краснеть"
board,"совет, коллегия"
board,доска
board,"борт, подниматься на борт"
boast,"хвастать, хвастовство"
boat,"лодка, судно"
bog,"болото, трясина"
boil,"кипеть, кипятить, варить"
bold,"смелый, дерзкий, безрассудный"
bolster,"укреплять, поддерживать"
bond,"связь, узы, соединение"
bond,"обязательство, облигация"
bone,кость
bonfire,костер
boobs,титьки
book,"купить, забронировать"
boom,"заграждение, пояс"
boost,"повышать, усиливать"
boot,"сапог, ботинок"
booth,"будка, кабина"
booze,выпивка
border,"граница, край"
bore,надоедать
borough,"район, место"
borrow,брать взаймы
both,оба
bother,беспокоить
bottom,дно
boulder,валун
bounce,"отскакивать, прыгать"
bound,обязан
boundary,"граница, черта"
bounds,"границы, рамки (перен.)"
bounty,вознаграждение
bout,"всплеск, приступ"
bout,"бой, поединок"
bow,"бант, бабочка"
bow,лук
bow,"поклон, наклоняться"
bow out,"откланяться, уйти"
bowel,кишка
bowl,миска
brace,"скоба, распорка, скрепа"
bracket,скобка
brag,"хвастаться, кичиться"
braid,коса или оплётка
brake,тормоз
branch,ветвь
branch,"филиал, ответвление"
brass,латунь
brassiere (bra),бюстгальтер
brave,храбрый
brawl,"шумная драка, скандал"
brazen,наглый
breach,"брешь, прорывать, пробивать"
breadth,"ширина, широта"
break,"перерыв, перемена"
"break (broke, broken)",нарушать
break away,отделяться
break down,ломаться
break into (break in),"проникнуть, вломиться"
break out,"вспыхнуть, разразиться"
break out,"сбежать, вырваться"
break up,разорвать отношения
breakthrough,"прорыв, достижение"
breast,грудь
breath,"дыхание, вздох"
breathe,дышать
breed,"порода, поколение и т д."
"breed (bred, bred)","разводить, выращивать"
brew,"заваривать, варить напиток"
bribe,взятка
brick,кирпич
bride,невеста
bridge,мост
brief,краткий
briefcase,портфель
bright,яркий
brilliant,блестящий
brim,край сосуда
"bring (brought, brought)",принести
bring along,взять с собой
bring around,убедить
bring back,вернуть
bring down,"сбрасывать, свергать"
bring in,привлечь
bring out,выпустить (новинку и т.д.)
bring up,поднять тему
bring up,воспитывать
brink,"грань, край"
brisk,"энергичный, оживлённый"
bristle,щетина
brittle,ломкий
broad,широкий
broadcast,"транслировать, трансляция"
broom,"метла, веник"
broth,"бульон, отвар"
bruise,"синяк, ушиб"
